Hell,Darkest Rugby ,Strategy,708,780,910,894,795,714,1,8,PC,1,1897613,1
Charleston Peak Soft,Tribal Speed ,Party,257,151,286,258,286,326,23,1,PC,1,24048,1
Denali Games,Magic Makeover ,RPG,376,409,368,785,546,969,6,6,PC,1,321106,1
Tanaga Creations,Magic Paintball ,Sports,171,14,3,320,4,232,10,1,PC,1,73582,1
Glider,NCAA Dungeon ,Party,389,108,281,884,990,828,3,6,PC,1,214824,1
War Productions,Heavy Terrorist ,,940,807,602,855,728,927,7,1,PC,1,62094,1
Elbert Games,Vegetarian Carnival ,RPG,660,849,820,678,641,550,7,7,PC,1,695251,1
Apollo Productions,Heroic Goth ,RPG,692,540,539,619,665,689,2,6,PC,1,157956,1
Brick Realms,Kinky Dance ,Simulation,150,363,364,237,175,335,23,1,PC,1,21550,1
Katahdin Software,Ninja Tennis ,Adventure,615,761,935,840,868,757,6,8,PC,1,4711185,1
Diverse Software,Undercover Mummy ,Simulation,889,730,890,843,876,787,1,8,PC,1,4081052,1
Teller Entertainment,Pathetic Shock ,,698,663,581,620,633,573,13,1,PC,1,62332,1
Change Software,The Castle of Thunder ,RPG,230,385,278,138,299,274,17,1,PC,1,36044,1
Seagull Soft,Return of the Tennis ,Puzzle,945,648,560,640,637,646,11,6,PC,1,452020,1
Wave Media,Ninja Police ,Action,922,765,946,901,817,925,6,9,PC,1,3460529,1
Thor Software,Indiana Jones and the Forklift ,Action,396,143,335,391,361,397,20,1,PC,1,64684,1
Griggs Entertainment,Action Drug-Dealing ,Adventure,723,584,763,613,507,628,21,4,Silver Max,1,70893,1
Oval Realms,Nasty Cookie ,RPG,838,626,888,617,939,903,8,8,PC,1,3249174,1
Fear Entertainment,In Search of Sex ,Adventure,928,556,642,248,297,503,13,4,Silver Max,1,2323,1
Shasta Creations,Exciting Funk ,Adventure,701,760,703,720,915,766,2,7,Surtur Box,1,603032,1
Tanaga Creations,Fatal Bandicoot ,Adventure,552,433,546,185,462,412,11,3,Silver Max,1,9033,1
Sierra Blanca,Spectral Battleship ,Simulation,629,717,865,893,652,686,4,7,PC,1,926744,1
Denali Gaming,Blasphemous Architecture ,,853,766,558,694,515,512,3,1,Surtur Box,1,58864,1
Oval Soft,Alien Ping Pong ,Casual,325,143,155,229,249,133,24,1,Silver Max,1,70544,1
Denali Games,Flamboyant Chess ,,690,793,322,582,346,800,0,1,PC,1,37880,1
Brick Realms,Interstellar Balloon ,Sports,526,398,569,522,450,556,23,3,Surtur Box,1,57232,1
Elbert Games,Red Hot Maze ,Strategy,799,556,542,567,873,576,14,5,Surtur Box,1,298080,1
Hell,Cybernetic Theme Park ,Adventure,990,785,704,858,969,708,2,8,Silver Max,1,1648071,1
Griggs Entertainment,Beautiful Pachinko ,Action,481,527,807,595,628,585,24,4,Surtur Box,1,15755,1
Mitchell Gaming,Astral Booty ,RPG,468,249,353,475,825,748,12,3,Surtur Box,1,69928,1
Katahdin Software,Ninja Tennis : GOTY,Adventure,615,761,935,840,868,757,6,8,PC,1,5323639,612454
Wave Media,Ninja Police : GOTY,Action,922,765,946,901,817,925,6,9,PC,1,3633555,173026
Oval Realms,Nasty Cookie : GOTY,RPG,838,626,888,617,939,903,8,8,PC,1,3704058,454884
Diverse Software,Undercover Mummy : GOTY,Simulation,889,730,890,843,876,787,1,8,PC,1,4652399,571347
Hell,Darkest Rugby : GOTY,Strategy,708,780,910,894,795,714,1,8,PC,1,1992494,94881
Oval Soft,Alien Ping Pong : GOTY,Casual,325,143,155,229,249,133,24,1,Silver Max,1,83947,13403
Glider,NCAA Dungeon : GOTY,Party,389,108,281,884,990,828,3,6,PC,1,253492,38668
Seagull Soft,Return of the Tennis : GOTY,Puzzle,945,648,560,640,637,646,11,6,PC,1,533384,81364
Brick Realms,Interstellar Balloon : GOTY,Sports,526,398,569,522,450,556,23,3,Surtur Box,1,61238,4006
